category,asset_name,original_path,quarantine_path,file_count,bytes,status,reason
Animals,animal_cat_home,TripPet/Resources/Assets.xcassets/Animals/animal_cat_home.imageset,,0,0,already_empty_not_moved,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Animals,animal_cat_selfie,TripPet/Resources/Assets.xcassets/Animals/animal_cat_selfie.imageset,,0,0,already_empty_not_moved,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Animals,animal_dog_home,TripPet/Resources/Assets.xcassets/Animals/animal_dog_home.imageset,,0,0,already_empty_not_moved,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Animals,animal_dog_visitor,TripPet/Resources/Assets.xcassets/Animals/animal_dog_visitor.imageset,,0,0,already_empty_not_moved,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Animals,animal_rabbit_home,TripPet/Resources/Assets.xcassets/Animals/animal_rabbit_home.imageset,,0,0,already_empty_not_moved,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Animals,animal_rabbit_visitor,TripPet/Resources/Assets.xcassets/Animals/animal_rabbit_visitor.imageset,,0,0,already_empty_not_moved,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Animals,postcard_animal_cat,TripPet/Resources/Assets.xcassets/Animals/postcard_animal_cat.imageset,,0,0,already_empty_not_moved,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Animals,postcard_animal_dog,TripPet/Resources/Assets.xcassets/Animals/postcard_animal_dog.imageset,,0,0,already_empty_not_moved,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Animals,postcard_animal_rabbit,TripPet/Resources/Assets.xcassets/Animals/postcard_animal_rabbit.imageset,,0,0,already_empty_not_moved,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Animals,postcard_animal_unknown,TripPet/Resources/Assets.xcassets/Animals/postcard_animal_unknown.imageset,,0,0,already_empty_not_moved,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Animals,postcard_portrait_animal_cat,TripPet/Resources/Assets.xcassets/Animals/postcard_portrait_animal_cat.imageset,,0,0,already_empty_not_moved,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Animals,postcard_portrait_animal_dog,TripPet/Resources/Assets.xcassets/Animals/postcard_portrait_animal_dog.imageset,,0,0,already_empty_not_moved,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Animals,postcard_portrait_animal_rabbit,TripPet/Resources/Assets.xcassets/Animals/postcard_portrait_animal_rabbit.imageset,,0,0,already_empty_not_moved,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Animals,postcard_portrait_animal_unknown,TripPet/Resources/Assets.xcassets/Animals/postcard_portrait_animal_unknown.imageset,,0,0,already_empty_not_moved,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Animals,trip_marker_cat,TripPet/Resources/Assets.xcassets/Animals/trip_marker_cat.imageset,,0,0,already_empty_not_moved,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Animals,trip_marker_empty,TripPet/Resources/Assets.xcassets/Animals/trip_marker_empty.imageset,,0,0,already_empty_not_moved,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Cabin,cabin_house_day_natural,TripPet/Resources/Assets.xcassets/Cabin/cabin_house_day_natural.imageset,,0,0,already_empty_not_moved,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Cabin,cabin_house_night_lit,TripPet/Resources/Assets.xcassets/Cabin/cabin_house_night_lit.imageset,,0,0,already_empty_not_moved,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Cabin,cabin_next_animal_approaching,TripPet/Resources/Assets.xcassets/Cabin/cabin_next_animal_approaching.imageset,,0,0,already_empty_not_moved,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Cabin,cabin_room_base,TripPet/Resources/Assets.xcassets/Cabin/cabin_room_base.imageset,,0,0,already_empty_not_moved,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Cabin,cabin_room_base_tall_v2,TripPet/Resources/Assets.xcassets/Cabin/cabin_room_base_tall_v2.imageset,,0,0,already_empty_not_moved,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Cabin,cabin_room_base_user_test,TripPet/Resources/Assets.xcassets/Cabin/cabin_room_base_user_test.imageset,,0,0,already_empty_not_moved,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Cabin,prop_map_table,TripPet/Resources/Assets.xcassets/Cabin/prop_map_table.imageset,,0,0,already_empty_not_moved,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Cabin,ticket_flight_trail,TripPet/Resources/Assets.xcassets/Cabin/ticket_flight_trail.imageset,,0,0,already_empty_not_moved,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Destinations,postcard_destination_archetype_harbor,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_archetype_harbor.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_archetype_harbor.imageset,2,1065138,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Destinations,postcard_destination_archetype_mountain,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_archetype_mountain.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_archetype_mountain.imageset,2,1117247,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Destinations,postcard_destination_archetype_river_lake,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_archetype_river_lake.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_archetype_river_lake.imageset,2,1048346,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Destinations,trip_route_map_lisbon,TripPet/Resources/Assets.xcassets/Destinations/trip_route_map_lisbon.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Destinations/trip_route_map_lisbon.imageset,2,2263891,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Envelopes,envelope_read,TripPet/Resources/Assets.xcassets/Envelopes/envelope_read.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Envelopes/envelope_read.imageset,2,2536558,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Envelopes,mailbox_tray_base,TripPet/Resources/Assets.xcassets/Envelopes/mailbox_tray_base.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Envelopes/mailbox_tray_base.imageset,2,1766335,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Onboarding,health_steps_ticket,TripPet/Resources/Assets.xcassets/Onboarding/health_steps_ticket.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Onboarding/health_steps_ticket.imageset,2,1534659,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Onboarding,onboarding_cabin_path,TripPet/Resources/Assets.xcassets/Onboarding/onboarding_cabin_path.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Onboarding/onboarding_cabin_path.imageset,2,2148278,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Onboarding,onboarding_cat_suitcase,TripPet/Resources/Assets.xcassets/Onboarding/onboarding_cat_suitcase.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Onboarding/onboarding_cat_suitcase.imageset,2,931589,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
Onboarding,onboarding_hero_welcome,TripPet/Resources/Assets.xcassets/Onboarding/onboarding_hero_welcome.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Onboarding/onboarding_hero_welcome.imageset,2,2763653,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch."
