category,asset_name,imageset_path,reason
Stamps,postcard_stamp_airport,TripPet/Resources/Assets.xcassets/Stamps/postcard_stamp_airport.imageset,runtime text/reference
Stamps,postcard_stamp_city_generic,TripPet/Resources/Assets.xcassets/Stamps/postcard_stamp_city_generic.imageset,manifest asset field
Stamps,postcard_stamp_lisbon,TripPet/Resources/Assets.xcassets/Stamps/postcard_stamp_lisbon.imageset,runtime text/reference
Stamps,postcard_stamp_paris,TripPet/Resources/Assets.xcassets/Stamps/postcard_stamp_paris.imageset,manifest asset field
Stamps,postcard_stamp_reykjavik,TripPet/Resources/Assets.xcassets/Stamps/postcard_stamp_reykjavik.imageset,manifest asset field
Stamps,stamp_airport_first_departure,TripPet/Resources/Assets.xcassets/Stamps/stamp_airport_first_departure.imageset,runtime text/reference
Stamps,stamp_iceland,TripPet/Resources/Assets.xcassets/Stamps/stamp_iceland.imageset,runtime text/reference
Stamps,stamp_lisbon,TripPet/Resources/Assets.xcassets/Stamps/stamp_lisbon.imageset,runtime text/reference
Stamps,stamp_paris,TripPet/Resources/Assets.xcassets/Stamps/stamp_paris.imageset,runtime text/reference
Textures,texture_paper_grain,TripPet/Resources/Assets.xcassets/Textures/texture_paper_grain.imageset,runtime text/reference
UI,icon_about,TripPet/Resources/Assets.xcassets/UI/icon_about.imageset,runtime text/reference
UI,icon_back,TripPet/Resources/Assets.xcassets/UI/icon_back.imageset,runtime text/reference
UI,icon_collection,TripPet/Resources/Assets.xcassets/UI/icon_collection.imageset,runtime text/reference
UI,icon_health,TripPet/Resources/Assets.xcassets/UI/icon_health.imageset,runtime text/reference
UI,icon_home,TripPet/Resources/Assets.xcassets/UI/icon_home.imageset,runtime text/reference
UI,icon_mail,TripPet/Resources/Assets.xcassets/UI/icon_mail.imageset,runtime text/reference
UI,icon_map,TripPet/Resources/Assets.xcassets/UI/icon_map.imageset,runtime text/reference
UI,icon_notification,TripPet/Resources/Assets.xcassets/UI/icon_notification.imageset,runtime text/reference
UI,icon_steps,TripPet/Resources/Assets.xcassets/UI/icon_steps.imageset,runtime text/reference
UI,icon_ticket,TripPet/Resources/Assets.xcassets/UI/icon_ticket.imageset,runtime text/reference
UI,map_travel_count_sign,TripPet/Resources/Assets.xcassets/UI/map_travel_count_sign.imageset,runtime text/reference
WorldMap,map_journal_night_sky_final,TripPet/Resources/Assets.xcassets/WorldMap/map_journal_night_sky_final.imageset,runtime text/reference
WorldMap,world_travel_map,TripPet/Resources/Assets.xcassets/WorldMap/world_travel_map.imageset,runtime text/reference
